cell,seed,dom,alive,fuel,hoard
carrion_k2,41,DEAD,0,24,α:5.77;β:6.04
carrion_k2,42,DEAD,0,24,α:6.04;β:5.25
carrion_k2,43,DEAD,0,24,α:6.12;β:5.77
carrion_k2,44,DEAD,0,24,α:7.31;β:4.65
carrion_k2,45,DEAD,0,24,α:5.50;β:6.23
carrion_k2,46,DEAD,0,24,α:5.20;β:7.08
carrion_k2,47,DEAD,0,24,α:7.19;β:4.85
carrion_k2,48,DEAD,0,24,α:5.24;β:7.00
carrion_k2,49,DEAD,0,24,α:6.68;β:5.40
carrion_k2,50,DEAD,0,24,α:6.54;β:5.31
carrion_k2,51,DEAD,0,24,α:5.88;β:6.28
carrion_k2,52,DEAD,0,24,α:5.48;β:6.15
carrion_k2,53,DEAD,0,24,α:5.69;β:6.31
carrion_k2,54,DEAD,0,24,α:4.92;β:7.12
carrion_k2,55,DEAD,0,24,α:6.63;β:4.74
carrion_k2,56,DEAD,0,24,α:6.22;β:5.33
carrion_k2,57,DEAD,0,24,α:7.08;β:4.92
carrion_k2,58,DEAD,0,24,α:5.46;β:7.04
carrion_k2,59,DEAD,0,24,α:6.11;β:5.32
carrion_k2,60,DEAD,0,24,α:6.04;β:6.20
carrion_k8,1,DEAD,0,24,α:5.35;β:6.46
carrion_k8,2,DEAD,0,24,α:6.00;β:6.16
carrion_k8,3,DEAD,0,24,α:5.11;β:6.37
carrion_k8,4,DEAD,0,24,α:6.42;β:5.27
carrion_k8,5,DEAD,0,24,α:5.37;β:6.04
carrion_k8,6,DEAD,0,24,α:5.64;β:6.56
carrion_k8,7,DEAD,0,24,α:7.20;β:5.00
carrion_k8,8,DEAD,0,24,α:5.93;β:5.63
carrion_k8,9,DEAD,0,24,α:6.46;β:5.31
carrion_k8,10,DEAD,0,24,α:4.96;β:6.25
carrion_k8,11,DEAD,0,24,α:5.54;β:6.19
carrion_k8,12,DEAD,0,24,α:6.68;β:4.61
carrion_k8,13,DEAD,0,24,α:4.92;β:7.00
carrion_k8,14,DEAD,0,24,α:6.68;β:5.52
carrion_k8,15,DEAD,0,24,α:5.92;β:5.92
carrion_k8,16,DEAD,0,24,α:6.38;β:5.35
carrion_k8,17,DEAD,0,24,α:4.84;β:7.24
carrion_k8,18,DEAD,0,24,α:5.80;β:6.28
carrion_k8,19,DEAD,0,24,α:5.76;β:6.36
carrion_k8,20,DEAD,0,24,α:5.64;β:6.48
carrion_k8,21,DEAD,0,24,α:5.56;β:6.52
carrion_k8,22,DEAD,0,24,α:7.62;β:4.38
carrion_k8,23,DEAD,0,24,α:6.58;β:5.15
carrion_k8,24,DEAD,0,24,α:5.33;β:6.33
carrion_k8,25,DEAD,0,24,α:6.04;β:6.20
carrion_k8,26,DEAD,0,24,α:4.78;β:6.81
carrion_k8,27,DEAD,0,24,α:6.32;β:4.86
carrion_k8,28,DEAD,0,24,α:5.37;β:6.11
carrion_k8,29,DEAD,0,24,α:4.89;β:6.52
carrion_k8,30,DEAD,0,24,α:5.92;β:6.58
carrion_k8,31,DEAD,0,24,α:5.48;β:6.00
carrion_k8,32,DEAD,0,24,α:6.96;β:5.24
carrion_k8,33,DEAD,0,24,α:6.44;β:5.60
carrion_k8,34,DEAD,0,24,α:6.46;β:4.86
carrion_k8,35,DEAD,0,24,α:5.74;β:5.70
carrion_k8,36,DEAD,0,24,α:6.56;β:5.68
carrion_k8,37,DEAD,0,24,α:6.50;β:6.00
carrion_k8,38,DEAD,0,24,α:5.59;β:6.04
carrion_k8,39,DEAD,0,24,α:5.23;β:6.54
carrion_k8,40,DEAD,0,24,α:5.80;β:6.36
carrion_k8,41,DEAD,0,24,α:5.77;β:6.04
carrion_k8,42,DEAD,0,24,α:6.04;β:5.25
